county_name,contest_name,imprinted_id,ballot_type,counted,choice_per_voting_computer,choice_per_audit_board,consensus,record_type,audit_board_comment,timestamp,cvr_id
Adams,District Attorney-Public Administrator,1-1-34,std,1,"[""BRETT MURDOCK""]",[],YES,UPLOADED,"",2018-06-29 10:14:07.513,42797
Adams,District Attorney-Public Administrator,1-1-66,std,1,"[""BRETT MURDOCK""]","[""TONY RACKAUCKAS""]",YES,UPLOADED,"",2018-07-02 17:05:21.664,42829
Adams,District Attorney-Public Administrator,1-1-10,std,1,"[""BRETT MURDOCK""]",[],YES,UPLOADED,"",2018-06-29 10:04:23.824,42773
Adams,District Attorney-Public Administrator,1-1-38,std,1,"[""BRETT MURDOCK""]",[],YES,UPLOADED,"",2018-07-02 16:54:28.06,42801
Adams,District Attorney-Public Administrator,1-1-58,std,2,"[""BRETT MURDOCK""]","[""LENORE ALBERT-SHERIDAN""]",YES,UPLOADED,"",2018-07-02 17:00:13.895,42821
Adams,District Attorney-Public Administrator,1-1-11,std,1,"[""TONY RACKAUCKAS""]",[],YES,UPLOADED,"",2018-06-29 10:04:59.325,42774
Adams,District Attorney-Public Administrator,1-1-60,std,1,"[""BRETT MURDOCK""]","[""TODD SPITZER""]",YES,UPLOADED,"",2018-07-02 17:00:58.017,42823
Adams,District Attorney-Public Administrator,1-1-6,std,2,"[""BRETT MURDOCK""]",[],YES,UPLOADED,"",2018-06-29 10:02:33.201,42769
Adams,District Attorney-Public Administrator,1-1-57,std,1,"[""TONY RACKAUCKAS""]",[],YES,UPLOADED,"",2018-07-02 16:59:39.156,42820
Adams,District Attorney-Public Administrator,1-1-54,std,2,"[""BRETT MURDOCK""]",[],YES,UPLOADED,"",2018-07-02 16:59:01.077,42817
Adams,District Attorney-Public Administrator,1-1-36,std,2,"[""BRETT MURDOCK""]",[],YES,UPLOADED,"",2018-07-02 16:54:03.095,42799
Adams,District Attorney-Public Administrator,1-1-56,std,1,"[""BRETT MURDOCK""]",[],YES,UPLOADED,"",2018-07-02 16:59:20.464,42819
Adams,District Attorney-Public Administrator,1-1-12,std,1,"[""BRETT MURDOCK""]",[],YES,UPLOADED,"",2018-06-29 10:05:36.514,42775
Adams,Sheriff-Coroner,1-1-28,std,2,"[""DAVID C. HARRINGTON""]","[""DON BARNES""]",YES,UPLOADED,"",2018-06-29 10:11:53.376,42791
Adams,Sheriff-Coroner,1-1-33,std,1,"[""DON BARNES""]","[""DUKE NGUYEN""]",YES,UPLOADED,"",2018-06-29 10:13:29.142,42796
Adams,Sheriff-Coroner,1-1-34,std,1,"[""DAVID C. HARRINGTON""]",[],YES,UPLOADED,"",2018-06-29 10:14:07.513,42797
Adams,Sheriff-Coroner,1-1-15,std,2,"[""DON BARNES""]","[""DUKE NGUYEN""]",YES,UPLOADED,"",2018-06-29 10:07:07.665,42778
Adams,Sheriff-Coroner,1-1-38,std,1,"[""DAVID C. HARRINGTON""]",[],YES,UPLOADED,"",2018-07-02 16:54:28.06,42801
Adams,Sheriff-Coroner,1-1-40,std,1,"[""DAVID C. HARRINGTON""]","[""DUKE NGUYEN""]",YES,UPLOADED,"",2018-07-02 16:55:35.348,42803
Adams,Sheriff-Coroner,1-1-44,std,1,"[""DAVID C. HARRINGTON""]",[],YES,UPLOADED,"",2018-07-02 16:56:25.028,42807
Adams,Sheriff-Coroner,1-1-46,std,1,"[""DAVID C. HARRINGTON""]",[],YES,UPLOADED,"",2018-07-02 16:57:14.58,42809
Adams,Sheriff-Coroner,1-1-50,std,2,"[""DAVID C. HARRINGTON""]",[],YES,UPLOADED,"",2018-07-02 16:57:58.117,42813
Adams,Sheriff-Coroner,1-1-12,std,1,"[""DAVID C. HARRINGTON""]",[],YES,UPLOADED,"",2018-06-29 10:05:36.514,42775
Adams,Sheriff-Coroner,1-1-52,std,1,"[""DAVID C. HARRINGTON""]",[],YES,UPLOADED,"",2018-07-02 16:58:40.266,42815
Adams,Sheriff-Coroner,1-1-56,std,1,"[""DAVID C. HARRINGTON""]",[],YES,UPLOADED,"",2018-07-02 16:59:20.464,42819
Adams,Sheriff-Coroner,1-1-57,std,1,"[""DON BARNES""]",[],YES,UPLOADED,"",2018-07-02 16:59:39.156,42820
Adams,Sheriff-Coroner,1-1-60,std,1,"[""DAVID C. HARRINGTON""]","[""DAVID C. HARRINGTON""]",YES,UPLOADED,"",2018-07-02 17:00:58.017,42823
Adams,Sheriff-Coroner,1-1-1,std,2,"[""DAVID C. HARRINGTON""]",[],YES,UPLOADED,"",2018-06-29 10:01:20.852,42764
Adams,Sheriff-Coroner,1-1-66,std,1,"[""DAVID C. HARRINGTON""]","[""DON BARNES""]",YES,UPLOADED,"",2018-07-02 17:05:21.664,42829
